host
192.168.11.1
192.168.72.1
192.168.73.1
192.168.75.1
192.168.12.1
192.168.10.1
192.168.15.1
192.168.16.1
192.168.53.1
192.168.54.1
192.168.55.1
192.168.17.1
192.168.18.1
192.168.19.1
192.168.20.1
192.168.21.1
192.168.23.1
192.168.24.1
192.168.26.1
192.168.27.1
